dd,mon,year,allmn
12/5/14,12,2014,48
12/6/14,12,2014,48
12/7/14,12,2014,48
12/8/14,12,2014,48
12/9/14,12,2014,48
12/10/14,12,2014,48
12/11/14,12,2014,48
12/12/14,12,2014,48
12/13/14,12,2014,48
12/14/14,12,2014,48
12/15/14,12,2014,48
12/16/14,12,2014,48
12/17/14,12,2014,48
12/18/14,12,2014,48
12/19/14,12,2014,48
12/20/14,12,2014,48
12/21/14,12,2014,48
12/22/14,12,2014,48
12/23/14,12,2014,48
12/24/14,12,2014,48
12/25/14,12,2014,48
12/26/14,12,2014,48
12/27/14,12,2014,48
12/28/14,12,2014,48
12/29/14,12,2014,48
12/30/14,12,2014,48
12/31/14,12,2014,48
1/1/15,1,2015,49
1/2/15,1,2015,49
1/3/15,1,2015,49
1/4/15,1,2015,49
1/5/15,1,2015,49
1/6/15,1,2015,49
1/7/15,1,2015,49
1/8/15,1,2015,49
1/9/15,1,2015,49
1/10/15,1,2015,49
1/11/15,1,2015,49
1/12/15,1,2015,49
1/13/15,1,2015,49
1/14/15,1,2015,49
1/15/15,1,2015,49
1/16/15,1,2015,49
1/17/15,1,2015,49
1/18/15,1,2015,49
1/19/15,1,2015,49
1/20/15,1,2015,49
1/21/15,1,2015,49
1/22/15,1,2015,49
1/23/15,1,2015,49
1/24/15,1,2015,49
1/25/15,1,2015,49
1/26/15,1,2015,49
1/27/15,1,2015,49
1/28/15,1,2015,49
1/29/15,1,2015,49
1/30/15,1,2015,49
1/31/15,1,2015,49
2/1/15,2,2015,50
2/2/15,2,2015,50
2/3/15,2,2015,50
2/4/15,2,2015,50
2/5/15,2,2015,50
2/6/15,2,2015,50
2/7/15,2,2015,50
2/8/15,2,2015,50
2/9/15,2,2015,50
2/10/15,2,2015,50
2/11/15,2,2015,50
2/12/15,2,2015,50
2/13/15,2,2015,50
2/14/15,2,2015,50
2/15/15,2,2015,50
2/16/15,2,2015,50
2/17/15,2,2015,50
2/18/15,2,2015,50
2/19/15,2,2015,50
2/20/15,2,2015,50
2/21/15,2,2015,50
2/22/15,2,2015,50
2/23/15,2,2015,50
2/24/15,2,2015,50
2/25/15,2,2015,50
2/26/15,2,2015,50
2/27/15,2,2015,50
2/28/15,2,2015,50
3/1/15,3,2015,51
3/2/15,3,2015,51
3/3/15,3,2015,51
3/4/15,3,2015,51
3/5/15,3,2015,51
3/6/15,3,2015,51
3/7/15,3,2015,51
3/8/15,3,2015,51
3/9/15,3,2015,51
3/10/15,3,2015,51
3/11/15,3,2015,51
3/12/15,3,2015,51
3/13/15,3,2015,51
3/14/15,3,2015,51
3/15/15,3,2015,51
3/16/15,3,2015,51
3/17/15,3,2015,51
3/18/15,3,2015,51
3/19/15,3,2015,51
3/20/15,3,2015,51
3/21/15,3,2015,51
3/22/15,3,2015,51
3/23/15,3,2015,51
3/24/15,3,2015,51
3/25/15,3,2015,51
3/26/15,3,2015,51
3/27/15,3,2015,51
3/28/15,3,2015,51
3/29/15,3,2015,51
3/30/15,3,2015,51
3/31/15,3,2015,51
4/1/15,4,2015,52
4/2/15,4,2015,52
4/3/15,4,2015,52
4/4/15,4,2015,52
4/5/15,4,2015,52
4/6/15,4,2015,52
4/7/15,4,2015,52
4/8/15,4,2015,52
4/9/15,4,2015,52
4/10/15,4,2015,52
4/11/15,4,2015,52
4/12/15,4,2015,52
4/13/15,4,2015,52
4/14/15,4,2015,52
4/15/15,4,2015,52
4/16/15,4,2015,52
4/17/15,4,2015,52
4/18/15,4,2015,52
4/19/15,4,2015,52
4/20/15,4,2015,52
4/21/15,4,2015,52
4/22/15,4,2015,52
4/23/15,4,2015,52
4/24/15,4,2015,52
4/25/15,4,2015,52
4/26/15,4,2015,52
4/27/15,4,2015,52
4/28/15,4,2015,52
4/29/15,4,2015,52
4/30/15,4,2015,52
5/1/15,5,2015,53
5/2/15,5,2015,53
5/3/15,5,2015,53
5/4/15,5,2015,53
5/5/15,5,2015,53
5/6/15,5,2015,53
5/7/15,5,2015,53
5/8/15,5,2015,53
5/9/15,5,2015,53
5/10/15,5,2015,53
5/11/15,5,2015,53
5/12/15,5,2015,53
5/13/15,5,2015,53
5/14/15,5,2015,53
5/15/15,5,2015,53
5/16/15,5,2015,53
5/17/15,5,2015,53
5/18/15,5,2015,53
5/19/15,5,2015,53
5/20/15,5,2015,53
5/21/15,5,2015,53
5/22/15,5,2015,53
5/23/15,5,2015,53
5/24/15,5,2015,53
5/25/15,5,2015,53
5/26/15,5,2015,53
5/27/15,5,2015,53
5/28/15,5,2015,53
5/29/15,5,2015,53
5/30/15,5,2015,53
5/31/15,5,2015,53
6/1/15,6,2015,54
6/2/15,6,2015,54
6/3/15,6,2015,54
6/4/15,6,2015,54
6/5/15,6,2015,54
6/6/15,6,2015,54
6/7/15,6,2015,54
6/8/15,6,2015,54
6/9/15,6,2015,54
6/10/15,6,2015,54
6/11/15,6,2015,54
6/12/15,6,2015,54
6/13/15,6,2015,54
6/14/15,6,2015,54
6/15/15,6,2015,54
6/16/15,6,2015,54
6/17/15,6,2015,54
6/18/15,6,2015,54
6/19/15,6,2015,54
6/20/15,6,2015,54
6/21/15,6,2015,54
6/22/15,6,2015,54
6/23/15,6,2015,54
6/24/15,6,2015,54
6/25/15,6,2015,54
6/26/15,6,2015,54
6/27/15,6,2015,54
6/28/15,6,2015,54
6/29/15,6,2015,54
6/30/15,6,2015,54
7/1/15,7,2015,55
7/2/15,7,2015,55
7/3/15,7,2015,55
7/4/15,7,2015,55
7/5/15,7,2015,55
7/6/15,7,2015,55
7/7/15,7,2015,55
7/8/15,7,2015,55
7/9/15,7,2015,55
7/10/15,7,2015,55
7/11/15,7,2015,55
7/12/15,7,2015,55
7/13/15,7,2015,55
7/14/15,7,2015,55
7/15/15,7,2015,55
7/16/15,7,2015,55
7/17/15,7,2015,55
7/18/15,7,2015,55
7/19/15,7,2015,55
7/20/15,7,2015,55
7/21/15,7,2015,55
7/22/15,7,2015,55
7/23/15,7,2015,55
7/24/15,7,2015,55
7/25/15,7,2015,55
7/26/15,7,2015,55
7/27/15,7,2015,55
7/28/15,7,2015,55
7/29/15,7,2015,55
7/30/15,7,2015,55
7/31/15,7,2015,55
8/1/15,8,2015,56
8/2/15,8,2015,56
8/3/15,8,2015,56
8/4/15,8,2015,56
8/5/15,8,2015,56
8/6/15,8,2015,56
8/7/15,8,2015,56
8/8/15,8,2015,56
8/9/15,8,2015,56
8/10/15,8,2015,56
8/11/15,8,2015,56
8/12/15,8,2015,56
8/13/15,8,2015,56
8/14/15,8,2015,56
8/15/15,8,2015,56
8/16/15,8,2015,56
8/17/15,8,2015,56
8/18/15,8,2015,56
8/19/15,8,2015,56
8/20/15,8,2015,56
8/21/15,8,2015,56
8/22/15,8,2015,56
8/23/15,8,2015,56
8/24/15,8,2015,56
8/25/15,8,2015,56
8/26/15,8,2015,56
8/27/15,8,2015,56
8/28/15,8,2015,56
8/29/15,8,2015,56
8/30/15,8,2015,56
8/31/15,8,2015,56
9/1/15,9,2015,57
9/2/15,9,2015,57
9/3/15,9,2015,57
9/4/15,9,2015,57
9/5/15,9,2015,57
9/6/15,9,2015,57
9/7/15,9,2015,57
9/8/15,9,2015,57
9/9/15,9,2015,57
9/10/15,9,2015,57
9/11/15,9,2015,57
9/12/15,9,2015,57
9/13/15,9,2015,57
9/14/15,9,2015,57
9/15/15,9,2015,57
9/16/15,9,2015,57
9/17/15,9,2015,57
9/18/15,9,2015,57
9/19/15,9,2015,57
9/20/15,9,2015,57
9/21/15,9,2015,57
9/22/15,9,2015,57
9/23/15,9,2015,57
9/24/15,9,2015,57
9/25/15,9,2015,57
9/26/15,9,2015,57
9/27/15,9,2015,57
9/28/15,9,2015,57
9/29/15,9,2015,57
9/30/15,9,2015,57
10/1/15,10,2015,58
10/2/15,10,2015,58
10/3/15,10,2015,58
10/4/15,10,2015,58
10/5/15,10,2015,58
10/6/15,10,2015,58
10/7/15,10,2015,58
